index,symbol
346,CASTROLIND
347,CCCL
348,CCHHL
349,CCL
350,CDSL
351,CEATLTD
352,CEIGALL
353,CELEBRITY
354,CELLECOR
355,CELLO
356,CENTENKA
357,CENTEXT
358,CENTRALBK
359,CENTRUM
360,CENTUM
361,CENTURYPLY
362,CERA
363,CEREBRAINT
364,CESC
365,CEWATER
366,CGCL
367,CGPOWER
368,CGRAPHICS
369,CHALET
370,CHAMBLFERT
371,CHAVDA
372,CHEMBOND
373,CHEMCON
374,CHEMFAB
375,CHEMPLASTS
376,CHENNPETRO
377,CHEVIOT
378,CHOICEIN
379,CHOLAFIN
380,CHOLAHLDNG
381,CIEINDIA
382,CIGNITITEC
383,CINELINE
384,CINEVISTA
385,CIPLA
386,CLEAN
387,CLEDUCATE
388,CLSEL
389,CMSINFO
390,COALINDIA
391,COASTCORP
392,COCHINSHIP
393,COFORGE
394,COLPAL
395,COMPUSOFT
396,CONCOR
397,CONCORDBIO
398,CONFIPET
399,CONS
400,CONSOFINVT
402,CONTROLPR
403,COOLCAPS
404,CORALFINAC
405,CORDSCABLE
406,COROMANDEL
407,COSMOFIRST
408,COUNCODOS
409,CRAFTSMAN
410,CREATIVEYE
411,CREDITACC
412,CREST
413,CRISIL
414,CROMPTON
415,CROWN
416,CSBBANK
417,CSLFINANCE
418,CTE
419,CUB
420,CUBEXTUB
421,CUMMINSIND
422,CUPID
423,CYBERMEDIA
424,CYBERTECH
425,CYIENT
426,CYIENTDLM
427,DABUR
428,DALBHARAT
429,DALMIASUG
430,DAMCAPITAL
431,DAMODARIND
432,DANGEE
433,DANISH
434,DATAMATICS
435,DATAPATTNS
436,DAVANGERE
437,DBCORP
438,DBEIL
439,DBL
440,DBOL
441,DBREALTY
442,DBSTOCKBRO
443,DCAL
444,DCBBANK
445,DCI
446,DCM
447,DCMFINSERV
448,DCMNVL
449,DCMSHRIRAM
450,DCMSRIND
451,DCW
452,DCXINDIA
454,DECCANCE
455,DEEDEV
456,DEEPAKFERT
457,DEEPAKNTR
458,DEEPINDS
459,DELHIVERY
460,DELPHIFX
461,DELTACORP
462,DELTAMAGNT
464,DEN
465,DENORA
466,DENTALKART
467,DEVIT
468,DEVYANI
469,DGCONTENT
470,DHAMPURSUG
471,DHANBANK
472,DHANUKA
473,DHARMAJ
474,DHRUV
475,DHUNINV
476,DIACABS
477,DIAMINESQ
478,DIAMONDYD
479,DICIND
480,DIFFNKG
481,DIGIDRIVE
482,DIGISPICE
483,DIL
484,DISHTV
485,DIVGIITTS
486,DIVISLAB
487,DIXON
488,DJML
489,DLF
490,DLINKINDIA
491,DMART
492,DMCC
493,DNAMEDIA
494,DODLA
495,DOLATALGO
496,DOLLAR
497,DOLPHIN
498,DOMS
499,DONEAR
500,DPABHUSHAN
501,DPSCLTD
502,DPWIRES
503,DRCSYSTEMS
504,DREAMFOLKS
505,DREDGECORP
506,DRONE
507,DRREDDY
508,DSSL
509,DTIL
510,DUCON
511,DVL
512,DWARKESH
513,DYCL
514,DYNAMATECH
515,DYNPRO
516,E2E
517,EASEMYTRIP
518,EBANKNIFTY
519,EBBETF0430
520,EBBETF0431
521,EBBETF0433
523,ECLERX
524,ECOSMOBLTY
525,EDELWEISS
526,EFFWA
527,EGOLD
528,EICHERMOT
529,EIDPARRY
530,EIEL
